file;file_coords;id_join
afliq;estaf;indroea
afliqc;canal;ref_ceh
afliqci;canal;ref_ceh
afliqe;canal;ref_ceh
afliqi;estaf;indroea
anual_a;estaf;indroea
anual_c;canal;ref_ceh
anual_e;canal;ref_ceh
canal;canal;ref_ceh
cdr;;
embalse;embalse;
estadis_a;estaf;indroea
estadis_ca;canal;ref_ceh
estadis_en;canal;ref_ceh
estadis_re;canal;ref_ceh
estadis_sa;canal;ref_ceh
estaf;estaf;indroea
estev;estev;
evap;estev;ref_evap
extremos_a;estaf;indroea
extremos_a_v;estaf;indroea
gr_cuenca;;
hojas50;;
mensual_a;estaf;indroea
mensual_a_v;estaf;indroea
mensual_c;canal;ref_ceh
mensual_e;canal;ref_ceh
muni;;
prov;;
